,KH2PO4,NH4Cl,KCl,MgSO4*7H2O,ZnSO4·7H2O,H3BO3,MnCl2·4H2O,FeSO4·7H2O,CoCl2·6H2O,CuSO4·5H20,Na2MoO4·2H2O,Na4EDTA,biotin,pyridoxine,thiamine,riboflavin,para-aminobenzoic acid,nicotinic acid,Malate Titer (g/L),DCW (g/L)
17c,0.833371,0.681849,0.306765,0.438219,0.340991,0.300236,0.297025,0.209993,0.481223,0.072767,0.087571,1.761225,0.008537,0.008189,0.008422,0.031429,0.004879,0.005449,6.51,9.3
20c,1.372165,1.113386,0.593621,1.466518,0.326297,0.468642,0.020288,0.208285,0.241248,0.357198,0.095694,1.276272,0.002475,0.000552,0.008537,0.06,0.009072,0.004452,0.0,1.0
20c,1.372165,1.113386,0.593621,1.466518,0.326297,0.468642,0.020288,0.208285,0.241248,0.357198,0.095694,1.276272,0.002475,0.000552,0.008537,0.06,0.009072,0.004452,0.0,1.0
20c,1.372165,1.113386,0.593621,1.466518,0.326297,0.468642,0.020288,0.208285,0.241248,0.357198,0.095694,1.276272,0.002475,0.000552,0.008537,0.06,0.009072,0.004452,0.0,0.8
23c,1.583011,0.631942,4.418551,3.367415,0.113684,0.283529,0.310505,0.013489,0.013996,0.124755,0.050776,2.294144,0.007847,0.001451,0.007579,0.061905,0.008975,0.006814,0.34,0.8
23c,1.583011,0.631942,4.418551,3.367415,0.113684,0.283529,0.310505,0.013489,0.013996,0.124755,0.050776,2.294144,0.007847,0.001451,0.007579,0.061905,0.008975,0.006814,0.36,1.2
23c,1.583011,0.631942,4.418551,3.367415,0.113684,0.283529,0.310505,0.013489,0.013996,0.124755,0.050776,2.294144,0.007847,0.001451,0.007579,0.061905,0.008975,0.006814,0.42,1.0
25c,1.556478,1.325467,0.451011,0.48577,0.002412,0.01146,0.005386,0.004633,0.001576,0.001758,7.8e-05,0.00463,0.000109,0.000101,0.000102,0.000104,9.4e-05,9.1e-05,8.98,13.6
25c,1.556478,1.325467,0.451011,0.48577,0.002412,0.01146,0.005386,0.004633,0.001576,0.001758,7.8e-05,0.00463,0.000109,0.000101,0.000102,0.000104,9.4e-05,9.1e-05,9.3,13.8
25c,1.556478,1.325467,0.451011,0.48577,0.002412,0.01146,0.005386,0.004633,0.001576,0.001758,7.8e-05,0.00463,0.000109,0.000101,0.000102,0.000104,9.4e-05,9.1e-05,9.0,13.7
26c,2.585733,1.965288,3.876564,3.512002,0.279191,0.106013,0.45564,0.390576,0.216876,0.267086,0.095457,1.211474,0.006608,0.001744,0.001698,0.018095,0.000454,0.005397,0.0,1.1
26c,2.585733,1.965288,3.876564,3.512002,0.279191,0.106013,0.45564,0.390576,0.216876,0.267086,0.095457,1.211474,0.006608,0.001744,0.001698,0.018095,0.000454,0.005397,0.0,-0.6
26c,2.585733,1.965288,3.876564,3.512002,0.279191,0.106013,0.45564,0.390576,0.216876,0.267086,0.095457,1.211474,0.006608,0.001744,0.001698,0.018095,0.000454,0.005397,0.0,2.4
